"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Slider/Cutter",14,"0","1",4,"0","2",1,0,0,0,-2,2.51,51,0.275,8,-1,13,7,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",2,"0","1",1,"0","0",1,0,0,0,0,2.57,5,0.206,2,-1,1,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",26,"0","0",7,"3","0",0,0,1,0,-7,2.52,42,0.194,13,-1,10,7,0,0,0,0,0,1,0,0,0,0,0,1
"Slider/Cutter",15,"0","1",5,"2","1",0,0,0,0,3,3.45,5,0.202,0,1,5,6,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",22,"0","1",5,"1","2",2,0,1,0,1,2.52,41,0.223,7,-1,14,10,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",21,"0","0",6,"0","0",0,0,0,1,1,3.33,15,0.258,2,1,7,7,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",19,"0","1",6,"0","0",0,0,0,0,3,3.45,10,0.253,3,1,5,6,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",17,"0","1",4,"2","1",2,0,0,0,0,6.23,0,0.25,0,-1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"Slider/Cutter",21,"0","0",5,"0","0",1,1,0,0,1,2.52,77,0.322,14,-1,14,10,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",17,"0","1",3,"0","0",1,0,0,0,-5,2.67,0,0.143,0,1,4,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",11,"0","1",4,"0","1",0,0,0,0,2,2.54,65,0.276,14,-1,13,10,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",30,"0","0",8,"2","2",2,0,0,0,6,2.65,44,0.272,6,1,9,7,0,0,0,0,1,0,0,0,0,0,0,1
"Slider/Cutter",24,"0","1",6,"0","0",1,1,0,0,3,2.44,34,0.21,12,-1,12,7,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",8,"0","1",2,"0","0",0,0,1,1,0,3.36,2,0.212,0,-1,4,6,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",7,"0","0",2,"1","1",2,0,0,0,0,3.14,36,0.227,9,-1,8,7,0,0,0,0,0,1,0,0,0,0,1,0
"Slider/Cutter",10,"0","0",4,"2","1",0,0,0,0,1,3.52,16,0.284,2,1,6,7,0,0,0,0,0,1,0,1,0,0,0,0
"Slider/Cutter",4,"0","1",2,"1","0",0,0,0,0,1,2.67,10,0.231,1,-1,2,3,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",27,"0","1",7,"0","2",1,1,0,0,3,2.59,0,0.333,0,-1,3,4,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",27,"0","0",6,"0","0",1,1,0,0,-5,2.67,3,0.3,0,1,4,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",24,"0","0",6,"0","0",0,0,1,0,2,6.23,2,0.2,2,-1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",6,"0","0",1,"3","2",1,1,0,0,-2,2.17,8,0.23,3,1,2,2,0,0,0,0,1,0,0,0,0,0,0,1
"Slider/Cutter",11,"0","1",3,"0","1",0,0,0,0,3,3.2,26,0.219,4,-1,8,7,0,0,0,0,0,1,0,1,0,0,0,0
"Slider/Cutter",25,"0","1",6,"0","0",1,0,1,1,-2,2.53,56,0.283,6,-1,13,8,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",16,"0","1",5,"0","1",0,0,0,0,-2,2.51,40,0.254,5,-1,13,7,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",6,"0","1",2,"0","0",2,0,0,0,0,2.57,14,0.39,4,-1,1,2,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",18,"0","1",5,"0","0",1,0,0,0,-1,2.58,36,0.221,7,-1,13,8,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",25,"0","1",7,"1","1",0,0,0,0,1,2.55,48,0.199,19,-1,13,9,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",14,"0","1",4,"0","1",1,0,0,0,-1,2.67,18,0.165,5,-1,2,3,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",14,"0","1",3,"1","2",1,0,0,1,2,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",17,"0","1",5,"1","1",0,0,0,0,0,7.84,0,0.286,0,-1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",3,"0","1",1,"0","0",0,1,0,0,0,2.75,35,0.295,6,1,4,4,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",23,"0","1",7,"0","0",0,0,0,0,-2,2.57,1,0.368,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",22,"0","1",6,"2","1",2,0,0,0,-1,2.55,34,0.227,4,-1,13,9,0,0,0,0,0,1,0,0,0,0,1,0
"Slider/Cutter",21,"0","0",5,"2","2",0,0,0,0,0,3.36,28,0.303,9,-1,4,6,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",22,"0","1",7,"1","2",0,0,0,0,-1,2.67,10,0.231,1,-1,2,3,0,0,0,0,0,0,1,0,0,0,0,1
