"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Fastball",5,"1","1",4,"2","0",1,0,0,0,-1,1.81,24,0.272,3,-1,5,1,0,0,0,0,1,0,0,0,0,0,1,0
"Slider.Cutter",2,"1","1",5,"1","2",2,1,0,1,-1,1.81,50,0.286,12,-1,5,1,0,0,0,0,0,0,1,0,0,0,1,0
"Slider.Cutter",2,"1","1",6,"1","0",1,0,0,0,1,2.77,34,0.278,2,-1,6,4,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",4,"1","0",5,"0","1",0,0,0,0,0,3.41,13,0.287,3,1,3,3,0,0,0,0,0,1,0,1,0,0,0,0
"Slider.Cutter",5,"1","0",2,"2","1",1,0,0,0,0,0,4,0.24,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",9,"1","1",3,"0","1",0,0,0,0,4,2.88,1,0.111,0,1,7,5,8,7,0,0,0,1,0,1,0,0,0,0
"Slider.Cutter",3,"1","0",4,"0","0",0,0,0,0,3,2.66,29,0.289,0,-1,10,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",7,"1","1",4,"0","2",0,0,0,0,-4,2.03,3,0.162,1,1,3,1,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",8,"1","0",5,"2","0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",6,"1","0",4,"2","2",1,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",9,"1","1",3,"3","2",2,0,0,0,1,1.74,0,0.143,0,-1,2,1,2,0,0,0,0,1,0,0,0,0,0,1
"CurveBall",6,"1","1",7,"1","2",2,0,1,0,2,1.98,23,0.276,5,1,3,1,0,0,0,0,1,0,0,0,0,0,0,1
"Fastball",9,"1","1",3,"1","1",0,0,0,0,0,2.65,0,0.154,0,1,9,5,14,9,0,0,0,1,0,0,0,0,1,0
"Slider.Cutter",2,"1","0",4,"0","0",1,0,0,0,5,1.74,15,0.344,6,-1,2,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",9,"1","1",7,"0","1",1,0,1,0,-3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",8,"1","0",3,"1","0",0,0,0,0,1,3.4,23,0.246,3,-1,6,5,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",5,"1","1",3,"0","2",1,0,0,0,-4,2.03,4,0.234,1,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",1,"1","0",1,"3","1",0,0,0,0,0,3.2,0,0.111,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
"CurveBall",4,"1","0",4,"0","0",1,0,0,0,1,2.77,65,0.254,21,-1,6,4,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"1","0",5,"1","0",0,0,0,0,0,2.18,63,0.314,13,1,5,2,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",3,"1","1",1,"0","0",1,1,0,0,0,2.65,90,0.276,20,1,9,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",3,"1","1",6,"0","0",0,0,0,0,0,0,17,0.282,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",7,"1","1",5,"0","1",1,0,0,0,-1,2.8,40,0.204,19,1,6,3,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",6,"1","1",2,"0","0",0,0,0,0,0,3.07,24,0.293,2,-1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",9,"1","1",5,"1","2",0,0,0,0,0,2.09,0,0.077,0,-1,2,1,4,2,0,0,0,1,0,0,0,0,1,0
"CurveBall",4,"1","0",6,"1","2",2,0,1,1,4,2.7,13,0.206,4,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",3,"1","0",7,"0","0",1,1,0,0,4,1.98,21,0.269,6,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",2,"1","1",1,"1","1",0,0,1,0,0,1.78,29,0.262,5,1,5,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",2,"1","1",1,"2","2",0,0,0,0,2,3.18,0,0,0,-1,4,4,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",4,"1","0",1,"0","2",2,1,0,0,0,2.65,68,0.288,15,1,9,5,0,0,0,0,0,1,0,0,0,0,1,0
"Slider.Cutter",6,"1","0",2,"0","0",1,1,0,0,0,2.77,3,0.197,0,-1,6,4,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",1,"1","0",4,"1","2",0,0,0,0,0,1.98,24,0.276,4,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",6,"1","1",4,"2","1",0,0,0,0,4,0,21,0.321,4,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Slider.Cutter",6,"1","0",5,"1","2",0,0,0,0,2,2.5,31,0.213,4,-1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",7,"1","1",5,"0","0",0,1,1,0,6,3.04,26,0.23,4,-1,5,4,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",5,"1","0",5,"1","1",1,1,1,0,-4,3.16,35,0.255,11,1,6,4,0,0,0,0,1,0,0,0,0,1,0,0
"Slider.Cutter",3,"1","1",6,"0","0",1,0,0,0,-2,2.95,19,0.293,3,1,4,4,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",1,"1","0",4,"0","0",1,0,1,0,-1,3.2,0,0.111,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",3,"1","0",4,"2","2",0,0,0,0,1,2.77,51,0.3,9,-1,6,4,0,0,0,1,0,0,0,0,0,1,0,0
"Slider.Cutter",3,"1","1",6,"1","1",0,0,1,0,0,1.95,65,0.314,18,-1,5,1,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",4,"1","0",1,"0","0",1,1,1,0,0,0,12,0.269,5,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",1,"1","0",5,"0","0",1,0,0,0,0,0,10,0.265,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"1","1",1,"1","2",2,1,0,0,0,2.89,16,0.222,4,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Slider.Cutter",1,"1","1",5,"1","0",0,1,0,0,2,2.77,16,0.316,4,-1,4,4,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",6,"1","1",2,"0","0",2,0,0,0,1,1.74,6,0.15,1,-1,2,1,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",4,"1","1",4,"1","2",1,0,0,0,4,1.74,7,0.27,0,-1,2,1,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",2,"1","0",4,"0","2",1,0,0,0,0,2.18,40,0.325,13,1,5,2,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",2,"1","1",6,"0","0",0,1,0,0,4,2.7,0,0.29,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",5,"1","1",1,"1","2",2,1,1,0,0,0,12,0.304,2,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",4,"1","0",1,"0","0",1,0,1,0,0,2.66,34,0.28,9,-1,10,5,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",6,"1","0",5,"2","2",1,0,1,0,-1,3.2,27,0.241,8,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"CurveBall",6,"1","0",5,"0","1",0,0,0,0,2,2.5,31,0.213,4,-1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",3,"1","0",3,"0","0",1,1,0,0,0,3.16,33,0.301,4,1,6,4,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",6,"1","1",8,"0","0",0,0,0,0,2,2.8,27,0.227,2,1,9,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"1","1",1,"0","0",2,0,0,0,0,2.09,44,0.311,1,-1,2,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",3,"1","1",1,"3","1",0,0,0,1,0,3.2,32,0.296,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
"Slider.Cutter",2,"1","1",4,"1","2",0,0,0,0,1,2.7,0,0.29,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",1,"1","0",3,"0","1",0,0,0,0,0,2.09,2,0.227,0,-1,2,1,0,0,0,0,1,0,0,1,0,0,0,0
"Slider.Cutter",5,"1","0",2,"3","2",1,0,0,0,0,0,4,0.24,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",8,"1","1",8,"1","2",0,0,0,0,-1,2.8,26,0.237,4,1,6,3,0,0,0,0,1,0,0,0,0,0,0,1
"Fastball",3,"1","1",1,"3","2",1,0,0,0,0,0,17,0.282,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",7,"1","0",6,"1","1",1,0,0,0,-4,2.33,24,0.25,6,-1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",4,"1","0",1,"1","2",2,0,0,0,-1,2.7,13,0.206,4,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Slider.Cutter",1,"1","1",3,"2","1",1,1,0,0,1,3.4,32,0.259,13,-1,6,5,0,0,0,0,0,0,1,0,0,0,0,1
"CurveBall",5,"1","1",6,"1","0",1,0,0,0,3,3.04,27,0.258,10,-1,5,4,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",4,"1","0",1,"0","0",0,0,0,0,-2,2.03,13,0.329,4,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",2,"1","1",6,"0","1",0,0,0,0,6,2.88,60,0.298,13,1,7,5,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",3,"1","1",6,"0","2",1,0,0,0,0,1.98,9,0.211,2,-1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",7,"1","1",3,"0","0",0,0,0,0,0,3.41,7,0.245,1,1,3,3,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",1,"1","0",6,"0","0",1,1,0,0,0,3,20,0.245,6,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",8,"1","1",5,"1","2",0,1,1,0,2,2.65,24,0.238,4,1,9,5,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",9,"1","1",5,"0","1",2,0,1,0,1,2.77,0,0,0,-1,6,4,0,3,0,0,0,1,0,1,0,0,0,0
"Fastball",4,"1","0",4,"0","0",0,1,0,0,1,2.81,31,0.324,4,-1,8,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",8,"1","0",3,"2","0",0,0,0,0,1,2.94,1,0.176,0,-1,7,5,8,5,0,0,0,1,0,0,0,0,1,0
"CurveBall",6,"1","1",2,"0","0",2,0,0,0,0,1.78,29,0.273,3,1,5,1,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",1,"1","0",1,"2","1",0,0,0,0,0,1.98,24,0.276,4,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",5,"1","1",1,"0","0",1,0,1,1,-1,1.98,9,0.171,3,-1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",1,"1","0",6,"1","2",1,1,0,0,0,3,20,0.245,6,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",4,"1","0",4,"3","2",0,1,0,0,1,2.81,31,0.324,4,-1,8,5,0,0,0,0,0,0,1,0,0,0,1,0
"Slider.Cutter",2,"1","0",3,"0","0",2,0,0,0,0,2.65,41,0.252,12,1,9,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",1,"1","0",1,"0","1",0,0,0,0,0,1.74,1,0.23,1,-1,2,1,0,0,0,0,0,1,0,1,0,0,0,0
"Slider.Cutter",1,"1","0",6,"0","2",1,0,0,0,2,2.5,3,0.16,0,-1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
"Slider.Cutter",6,"1","1",2,"2","2",0,0,0,0,2,2.66,10,0.278,0,-1,10,5,0,0,0,0,0,1,0,0,0,0,0,1
"Slider.Cutter",7,"1","0",3,"2","2",0,0,0,0,0,2.05,2,0.133,0,-1,4,1,0,0,0,0,1,0,0,0,0,0,1,0
"Slider.Cutter",3,"1","0",6,"0","0",2,0,0,0,3,2.94,29,0.285,4,-1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",3,"1","1",1,"2","2",1,0,0,0,0,0,17,0.282,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"Slider.Cutter",6,"1","1",7,"2","2",1,0,0,0,2,2.61,43,0.283,7,1,6,4,0,0,0,0,0,0,1,0,0,1,0,0
"Slider.Cutter",0,"1","0",8,"3","2",0,0,0,0,-1,2.8,28,0.226,4,1,6,3,0,0,0,0,1,0,0,0,0,0,0,1
"Fastball",1,"1","0",3,"2","1",1,0,0,0,0,2.65,58,0.271,8,1,9,5,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",9,"1","1",5,"1","0",0,0,0,0,0,2.09,0,0.077,0,-1,2,1,4,2,0,0,0,1,0,1,0,0,0,0
"Fastball",2,"1","0",1,"3","1",1,0,0,0,0,3.16,0,0.5,0,1,6,4,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",7,"1","1",2,"0","0",1,0,0,0,-1,2.8,40,0.204,19,1,6,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",7,"1","0",2,"2","1",2,0,0,0,-1,2.7,7,0.196,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",1,"1","0",4,"2","1",0,0,0,0,1,2.82,48,0.258,6,1,8,5,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",9,"1","1",5,"1","0",2,0,0,0,1,2.94,12,0.228,1,-1,7,5,0,0,0,0,0,0,1,1,0,0,0,0
"CurveBall",8,"1","1",3,"2","2",0,0,0,0,0,2.8,2,0.196,0,1,8,5,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",8,"1","0",3,"1","1",0,0,0,0,1,3.4,23,0.246,3,-1,6,5,0,0,0,0,0,1,0,0,0,0,1,0
"Slider.Cutter",2,"1","0",1,"2","2",0,1,0,0,0,0,0,0.6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",4,"1","0",1,"0","0",1,0,0,0,-1,1.81,45,0.296,12,-1,5,1,0,0,1,0,0,0,0,1,0,0,0,0
