"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeFastball","prev_pitch_typeKnuckleBall","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeFastball","prevprev_pitch_typeKnuckleBall","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"Slider.Cutter",3,"0","0",6,"1","1",0,0,0,0,1,3.72,28,0.324,10,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",4,"0","1",7,"0","2",0,0,0,0,0,1.98,71,0.291,7,-1,6,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",7,"0","1",2,"1","0",1,0,0,0,-1,5.74,5,0.229,1,-1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",8,"0","1",2,"0","0",1,1,1,0,1,6.86,5,0.243,1,-1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",1,"0","1",1,0,0,0,0,1.87,37,0.238,6,1,5,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Slider.Cutter",5,"0","0",4,"0","0",1,1,1,0,1,0,0,0.5,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",2,"0","0",0,1,0,0,-3,0,22,0.264,7,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",3,"0","1",0,0,0,0,-1,5.74,15,0.315,6,-1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Slider.Cutter",9,"0","1",5,"0","1",0,0,0,0,2,2.25,27,0.211,8,-1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",9,"0","1",2,"1","0",1,1,0,0,-1,5.74,2,0.184,1,-1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",6,"0","1",1,"1","2",1,0,0,1,-2,2.19,23,0.221,7,-1,6,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",1,"0","1",1,"0","0",0,0,0,0,0,1.83,10,0.253,0,-1,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","1",1,"0","0",0,0,0,0,0,5.08,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",1,"1","1",1,0,0,0,0,1.83,42,0.241,5,-1,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Slider.Cutter",7,"0","1",4,"2","2",0,0,0,0,3,2.25,6,0.16,2,-1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Fastball",2,"0","1",4,"1","0",0,0,0,0,0,0,1,0.25,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",2,"1","0",2,0,0,0,0,4.31,12,0.258,1,1,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
