"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeFA","prev_pitch_typeFC","prev_pitch_typeFF","prev_pitch_typeFT","prev_pitch_typeSL","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeFC","prevprev_pitch_typeFF","prevprev_pitch_typeFT","prevprev_pitch_typeSL"
"CH",13,"1","0",4,"0","0",1,0,0,0,1,2.97,9,0.224,3,-1,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",26,"1","1",7,"2","2",1,0,1,0,9,2.1,0,0,0,-1,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"FT",27,"1","0",8,"3","2",0,0,0,0,5,1.83,7,0.27,3,-1,4,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"FC",16,"1","1",5,"0","0",0,0,0,0,1,2.97,13,0.245,0,-1,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",23,"1","0",5,"0","0",1,0,0,0,4,2.7,17,0.272,5,-1,9,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",25,"1","0",6,"1","1",0,0,0,0,-4,2.06,14,0.222,2,-1,15,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"FF",20,"1","1",5,"3","1",0,1,0,0,-3,2.73,48,0.323,5,-1,13,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"FF",10,"1","0",3,"2","2",2,0,0,0,0,1.68,22,0.248,6,1,5,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"FT",22,"1","1",5,"2","1",0,0,0,0,2,2.94,87,0.289,34,-1,9,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"FT",16,"1","0",4,"1","0",1,1,0,0,0,2.7,41,0.273,10,-1,9,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",23,"1","0",6,"0","0",0,0,0,0,-3,1.88,14,0.197,2,-1,8,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",10,"1","0",3,"1","1",0,0,0,0,0,2.31,35,0.266,9,-1,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"FF",28,"1","0",8,"1","1",0,0,0,0,-4,2.9,61,0.274,19,-1,15,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"CH",24,"1","0",6,"1","0",0,0,0,0,1,2.86,31,0.276,9,-1,16,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FT",24,"1","0",6,"0","1",2,0,0,0,1,2.42,26,0.286,6,-1,11,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"FF",14,"1","1",4,"1","1",1,1,0,0,-1,2.86,54,0.276,12,-1,14,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"FF",30,"1","0",8,"0","2",2,1,0,0,1,2.98,17,0.278,4,1,4,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"CH",16,"1","0",4,"0","0",1,0,0,0,-1,2.15,5,0.304,1,-1,18,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FC",13,"1","0",4,"3","2",0,0,0,0,0,2.23,64,0.29,15,1,17,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"FC",18,"1","1",6,"2","2",0,0,0,0,0,0.64,0,0,0,-1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"FF",28,"1","0",6,"2","0",2,1,0,0,1,1.85,5,0.387,1,-1,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"FF",15,"1","0",5,"2","2",1,0,0,0,0,1.43,11,0.216,4,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
