"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeFF","prev_pitch_typePO","prev_pitch_typeSI","prev_pitch_typeSL","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeFF","prevprev_pitch_typePO","prevprev_pitch_typeSI","prevprev_pitch_typeSL"
"CH",14,"1","1",5,"0","1",0,0,0,0,-1,11.57,7,0.423,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"CH",6,"1","1",2,"1","1",1,0,0,0,3,3.74,48,0.236,9,1,14,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"SI",25,"1","1",7,"1","2",2,0,0,0,3,2.01,48,0.279,8,1,11,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"CH",7,"1","1",2,"0","1",0,0,0,0,0,11.57,11,0.275,3,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"CH",21,"1","0",6,"3","0",0,1,0,1,-1,1.91,6,0.204,3,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"CH",25,"1","1",7,"1","1",2,0,0,0,1,2.23,12,0.262,0,-1,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"SI",21,"1","1",6,"3","0",1,1,0,0,1,3.24,42,0.303,19,-1,10,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CH",11,"1","0",3,"0","0",0,1,0,0,-2,3.08,27,0.325,6,1,10,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CU",10,"1","1",4,"0","0",0,0,0,0,2,2.75,22,0.295,2,1,6,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",4,"1","0",1,"1","0",1,1,0,0,0,2.53,24,0.262,5,-1,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"CU",23,"1","1",6,"0","0",0,0,0,0,0,2.04,11,0.33,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CU",19,"1","1",5,"3","2",1,0,0,0,2,3.61,79,0.26,28,-1,11,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"SI",1,"1","0",1,"0","0",0,0,0,0,0,2.24,20,0.277,2,1,9,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"SI",5,"1","0",2,"0","0",1,0,0,0,1,1,7,0.311,2,-1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CU",17,"1","0",4,"0","2",1,0,0,0,-2,2.86,24,0.208,5,1,4,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"CU",15,"1","0",4,"0","0",2,0,0,0,0,3.38,40,0.282,9,1,9,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",6,"1","1",1,"1","2",0,1,1,0,-3,2.51,3,0.333,1,-1,9,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"SI",18,"1","0",5,"0","0",1,0,1,0,3,1.88,0,0.25,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CH",27,"1","1",7,"0","1",2,1,0,0,1,1.8,3,0.277,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"CU",17,"1","0",4,"1","0",0,0,0,1,-3,1.29,0,0,0,-1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CU",24,"1","1",6,"2","0",1,1,1,0,1,3.61,15,0.259,3,-1,11,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"FF",3,"1","1",1,"2","0",1,0,0,0,0,3.39,75,0.311,22,-1,6,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"SI",15,"1","1",4,"3","2",1,0,0,0,0,3,6,0.238,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"CU",4,"1","0",2,"0","0",0,0,0,0,0,1.8,8,0.333,3,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"FF",2,"1","0",1,"1","0",1,0,0,0,0,4.09,2,0.258,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"SI",20,"1","0",6,"0","1",0,0,0,0,-1,2.02,34,0.29,7,1,11,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"CH",19,"1","0",5,"1","2",2,0,0,0,2,1.73,0,0.313,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"SI",9,"1","0",2,"0","2",1,1,0,0,-2,4.5,3,0.286,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"FF",14,"1","1",3,"1","0",1,1,0,0,0,3.6,1,0.421,0,-1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"CH",24,"1","0",7,"2","1",1,0,0,0,0,2.63,12,0.205,2,1,8,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"CU",10,"1","1",3,"1","1",0,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"SI",16,"1","1",5,"2","0",0,0,0,0,2,3.65,51,0.258,6,1,16,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CU",8,"1","1",2,"1","1",2,1,1,0,0,3.38,11,0.21,2,1,9,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"SI",22,"1","0",5,"1","0",1,1,1,0,-3,2.07,69,0.263,19,1,13,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"SI",11,"1","0",3,"2","1",1,0,1,0,1,2.94,13,0.264,3,1,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
