"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeFF","prev_pitch_typeFT","prev_pitch_typePO","prev_pitch_typeSL","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeFF","prevprev_pitch_typeFT","prevprev_pitch_typeSL"
"FF",14,"1","1",4,"1","2",2,1,0,0,3,3.01,68,0.268,22,1,5,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"FF",25,"1","1",7,"0","1",2,1,0,0,3,4.32,41,0.304,9,1,8,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"FF",24,"1","0",7,"0","1",1,0,0,0,-2,1.47,6,0.18,2,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"FT",11,"1","0",3,"0","1",0,1,0,0,1,4.56,6,0.364,1,1,6,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"FF",14,"1","0",4,"0","0",1,0,0,0,-1,1.47,13,0.252,7,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"FT",12,"1","0",3,"2","2",0,0,0,0,-2,3.71,9,0.339,1,-1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"FT",8,"1","0",2,"1","0",2,1,0,1,3,4.67,3,0.3,0,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"FF",18,"1","0",5,"2","0",0,1,0,0,-1,4.53,29,0.204,8,1,6,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FF",3,"1","1",1,"3","2",1,0,0,0,0,3.82,8,0.192,1,-1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"SL",11,"1","0",3,"2","2",0,1,0,0,1,4.44,28,0.271,5,-1,8,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FF",26,"1","1",7,"0","1",0,0,0,0,4,4.71,10,0.226,2,-1,6,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"FF",11,"1","0",3,"0","1",2,1,0,0,0,4.51,40,0.302,8,-1,9,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"SL",26,"1","0",6,"3","1",1,0,1,0,0,4.38,14,0.207,2,1,10,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"FF",9,"1","1",3,"0","0",1,0,0,0,0,5.64,0,0,0,1,0,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"SL",8,"1","1",2,"0","1",0,1,1,0,1,4.64,2,0.135,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"FF",3,"1","1",1,"1","2",1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"FT",23,"1","0",8,"2","1",0,0,0,0,1,4.34,19,0.293,5,1,10,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"FF",9,"1","1",3,"0","0",0,0,0,0,-1,1.47,2,0.111,0,1,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
