"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"CurveBall",8,"1","1",6,"1","0",0,1,0,0,-4,0,0,0.143,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",2,"1","1",1,"1","1",1,0,0,0,0,3.06,21,0.208,6,1,6,5,0,0,0,1,0,0,0,0,0,0,1,0
"CurveBall",5,"1","0",2,"1","1",0,0,0,0,-1,3.53,63,0.261,12,1,9,10,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",9,"1","0",3,"1","0",0,0,0,0,0,5.98,0,0.188,0,1,3,4,4,3,0,0,0,1,0,1,0,0,0,0
"Fastball",2,"1","0",1,"0","1",0,0,1,0,0,5.16,37,0.277,4,1,5,5,0,0,0,0,0,1,0,1,0,0,0,0
"ChangeUp",7,"1","1",6,"3","2",1,0,1,0,1,3.47,4,0.2,0,-1,7,6,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",7,"1","0",5,"0","1",0,0,0,0,3,3.1,32,0.249,7,-1,5,4,0,0,0,0,0,1,0,1,0,0,0,0
"ChangeUp",1,"1","0",2,"3","2",0,0,0,1,-3,4.24,5,0.302,0,-1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
"CurveBall",3,"1","0",4,"2","2",0,0,0,0,3,5.16,60,0.282,23,1,5,5,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",8,"1","1",5,"0","1",2,0,0,1,2,3.46,34,0.207,11,-1,11,11,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",1,"1","0",3,"2","1",0,0,0,0,1,3.47,15,0.217,2,-1,7,6,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",8,"1","0",5,"1","0",1,0,0,0,3,3.59,9,0.256,0,-1,10,10,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",7,"1","0",3,"0","1",0,0,0,0,0,6.75,2,0.25,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",7,"1","1",5,"2","2",2,0,0,0,3,3.49,25,0.264,5,1,11,10,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",2,"1","0",3,"0","0",2,1,1,0,3,5.49,30,0.312,6,1,5,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"1","0",4,"0","1",0,0,0,0,2,3.59,34,0.228,4,-1,10,10,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",3,"1","1",1,"0","1",0,1,0,0,-1,6.06,21,0.267,1,-1,2,4,0,0,0,0,0,1,0,1,0,0,0,0
"ChangeUp",7,"1","0",5,"1","0",1,1,0,0,0,6.75,2,0.25,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",8,"1","0",5,"1","1",1,0,0,0,3,3.59,9,0.256,0,-1,10,10,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",3,"1","1",4,"2","1",0,0,1,0,4,3.68,56,0.276,8,-1,8,10,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",3,"1","0",1,"3","2",1,0,0,0,0,3.7,58,0.314,13,1,6,6,0,0,0,0,0,1,0,0,1,0,0,0
"CurveBall",9,"1","0",5,"0","1",0,0,0,0,1,4.88,0,0,0,-1,1,2,2,2,0,0,0,1,0,1,0,0,0,0
"CurveBall",6,"1","1",4,"0","0",2,1,0,0,2,6.55,7,0.221,1,1,3,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",5,"1","1",1,"2","2",1,1,0,1,-3,4.24,17,0.277,3,-1,2,2,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",6,"1","0",5,"0","1",1,0,0,0,3,3.49,58,0.234,8,1,11,10,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",9,"1","1",3,"0","0",0,1,0,0,0,3.67,1,0.22,0,-1,7,8,7,5,1,0,0,0,0,1,0,0,0,0
"ChangeUp",6,"1","0",5,"0","0",0,0,0,0,3,3.68,2,0.2,0,-1,8,10,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"1","0",4,"0","0",0,0,0,0,3,1.5,1,0.167,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",5,"1","1",2,"1","2",0,0,1,0,0,6,10,0.344,3,1,1,2,0,0,0,0,0,1,0,0,1,0,0,0
"ChangeUp",6,"1","1",3,"2","2",2,0,0,0,-2,3.55,27,0.302,10,-1,7,7,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",8,"1","0",4,"0","1",0,0,0,0,-6,3.39,8,0.207,3,-1,8,9,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",8,"1","1",2,"2","2",0,0,1,1,1,3.24,8,0.264,2,-1,6,5,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",9,"1","1",2,"0","0",0,1,1,0,-2,4.6,1,0.5,0,1,2,2,0,3,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"1","1",3,"2","1",0,0,0,0,-1,4.6,6,0.314,0,1,2,2,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",4,"1","1",7,"0","0",0,0,0,0,3,5.16,80,0.277,26,1,5,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",2,"1","1",6,"1","1",1,1,0,0,2,3.23,28,0.257,3,1,13,11,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",7,"1","1",4,"0","0",0,0,0,1,-2,4.73,9,0.235,0,-1,2,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",7,"1","1",2,"1","0",1,1,0,0,3,3.7,12,0.272,3,1,6,6,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",6,"1","1",7,"0","0",0,0,0,0,1,6.1,3,0.344,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",3,"1","0",5,"3","2",0,0,0,0,0,6,2,0.385,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",5,"1","1",2,"0","0",0,0,0,0,1,6.55,14,0.276,3,1,3,5,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",2,"1","0",1,"0","0",1,0,0,0,2,3.68,51,0.303,9,-1,8,10,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",2,"1","0",5,"3","0",0,1,0,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",9,"1","1",3,"0","1",0,0,0,0,1,6.55,4,0.174,0,1,3,5,4,4,0,0,0,1,0,1,0,0,0,0
"ChangeUp",1,"1","0",1,"0","1",0,0,0,0,0,5.33,2,0.297,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",2,"1","0",6,"2","2",0,0,0,0,3,3.47,39,0.246,11,-1,7,6,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",3,"1","0",3,"0","0",2,1,0,0,0,0,1,0.333,1,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",5,"1","0",4,"3","2",0,0,0,0,6,5.33,2,0.203,0,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",6,"1","0",2,"3","1",2,0,0,0,0,3.23,10,0.221,3,1,13,11,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",8,"1","1",2,"0","0",2,0,0,0,-2,3.46,23,0.232,4,1,7,6,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",5,"1","1",2,"0","0",0,0,0,0,1,3.42,21,0.265,3,-1,3,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",1,"1","1",1,"0","0",0,0,0,0,0,3.46,3,0.294,1,-1,11,11,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",3,"1","0",1,"2","1",1,0,0,0,0,6,2,0.385,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",3,"1","1",1,"0","1",1,0,1,0,0,6.1,13,0.324,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",7,"1","1",2,"0","0",2,1,0,0,2,3.59,5,0.321,0,-1,10,10,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",5,"1","0",6,"0","0",1,0,0,0,-1,3.21,5,0.2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",7,"1","0",7,"2","2",0,0,0,0,3,2.85,0,0.211,0,1,9,0,0,0,0,0,0,1,0,0,0,1,0,0
"ChangeUp",2,"1","0",5,"0","0",2,1,0,1,3,3.59,55,0.258,9,-1,10,10,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",7,"1","1",7,"0","1",1,0,0,0,1,6.1,3,0.378,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"ChangeUp",4,"1","0",4,"0","1",1,0,0,0,-1,5.9,36,0.231,13,-1,4,5,0,0,0,1,0,0,0,1,0,0,0,0
