"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"Fastball",21,"0","1",6,"1","2",1,0,1,1,2,4.65,46,0.289,14,-1,3,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",7,"0","1",2,"2","1",0,1,0,0,-1,3.45,3,0.25,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",14,"0","1",3,"1","2",2,1,0,1,-1,6.35,2,0.222,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",8,"0","1",8,"0","2",2,0,1,0,4,0,6,0.25,2,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",16,"0","0",4,"0","0",0,0,0,0,1,2.42,59,0.283,13,-1,8,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",21,"0","1",7,"1","0",1,0,0,0,1,1.96,22,0.279,5,1,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",1,"0","0",1,0,0,0,0,3.57,1,0.154,0,-1,2,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",3,"0","1",1,"2","1",2,0,0,0,0,4.24,26,0.293,8,1,4,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",12,"0","1",3,"0","0",0,0,0,0,-2,1.42,30,0.273,13,-1,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",4,"0","1",2,"0","0",0,0,0,0,1,4.65,35,0.259,4,-1,3,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",13,"0","1",3,"0","0",0,1,0,0,-1,4.19,66,0.255,30,1,5,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",22,"0","0",5,"3","1",2,0,0,0,2,2.42,97,0.325,20,-1,8,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",18,"0","1",6,"0","1",0,0,0,0,0,3.57,2,0.143,0,-1,2,5,6,4,0,0,0,1,0,0,1,0,0,0,0,0
"CurveBall",16,"0","1",4,"1","1",0,1,1,0,1,5.14,11,0.227,2,1,2,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"CurveBall",1,"0","1",1,"2","2",0,0,0,0,0,2.8,19,0.298,3,1,4,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",7,"0","0",2,"1","1",1,1,1,0,4,2.39,6,0.26,0,1,6,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",14,"0","1",3,"0","1",2,1,0,0,-2,1.42,6,0.283,2,-1,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"CurveBall",6,"0","1",2,"1","1",0,1,0,0,4,2.39,2,0.167,0,1,6,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",13,"0","1",3,"1","1",2,0,0,1,-1,2.86,41,0.335,12,1,5,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",4,"0","1",1,"1","0",1,0,0,0,-2,2.59,22,0.247,7,1,2,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",18,"0","1",4,"0","1",1,1,0,0,0,5.67,2,0.2,0,1,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",6,"0","1",2,"2","1",1,0,0,0,0,2.57,48,0.301,2,-1,7,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",10,"0","1",2,"0","2",1,1,0,0,-1,4.03,56,0.27,10,-1,6,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",8,"0","0",2,"3","1",2,0,0,0,0,6.35,5,0.25,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",25,"0","0",7,"1","0",0,0,0,0,2,9,0,0.214,0,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",18,"0","1",4,"3","2",1,0,0,0,1,2.42,2,0.262,0,-1,8,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",24,"0","0",5,"0","1",2,0,0,0,-3,4.03,11,0.369,6,-1,6,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CurveBall",22,"0","0",7,"1","1",2,1,0,0,1,1.96,15,0.247,3,1,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",16,"0","1",4,"0","0",1,1,1,0,0,2.76,24,0.236,7,-1,5,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",3,"0","1",1,"0","1",0,1,1,0,0,4.13,57,0.266,14,-1,7,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","1",1,"0","0",0,0,0,0,1,1.42,22,0.309,2,-1,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",12,"0","0",2,"1","2",0,1,1,0,-4,4.55,14,0.333,2,-1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",6,"0","1",5,"1","2",0,0,0,0,-5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",2,"0","1",1,"0","0",0,1,0,0,2,4.03,68,0.288,24,-1,4,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",3,"2","1",0,0,0,0,0,2.53,51,0.295,3,1,8,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Fastball",27,"0","1",7,"0","1",1,0,0,0,-4,5.44,17,0.238,4,-1,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",18,"0","1",4,"1","2",2,1,1,0,1,5.14,31,0.296,7,1,2,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",18,"0","1",3,"1","1",2,1,0,0,-4,4.55,5,0.2,0,-1,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",22,"0","1",5,"1","2",2,0,0,1,-4,5.44,47,0.235,13,-1,2,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",11,"0","1",3,"1","0",2,1,0,0,0,4.11,62,0.273,9,1,7,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",21,"0","0",6,"0","0",0,0,0,0,0,2.76,64,0.255,20,-1,5,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",23,"0","1",7,"3","0",0,0,0,0,6,2.39,3,0.2,2,1,6,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",17,"0","0",4,"2","2",0,0,0,0,0,5.67,10,0.171,4,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",20,"0","1",5,"0","2",1,0,0,0,1,5.51,4,0.286,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",12,"0","1",4,"3","0",0,0,0,0,-1,2.47,48,0.233,19,1,5,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"CurveBall",13,"0","0",3,"1","2",0,1,0,0,-1,4.03,75,0.268,26,-1,6,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0
