"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeFastball","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"Fastball",21,"0","1",6,"1","1",2,0,0,0,-1,2.06,52,0.326,12,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0
"ChangeUp",9,"0","1",2,"1","0",1,0,0,0,-1,2.37,4,0.257,0,-1,2,0,0,0,0,0,1,0,0,1,0,0,0,0
"ChangeUp",28,"0","1",7,"1","0",2,1,1,0,0,2.25,2,0.263,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",9,"0","1",3,"1","0",0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"ChangeUp",26,"0","1",7,"3","2",2,1,1,0,0,2.66,0,0.125,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",22,"0","1",6,"0","1",1,0,0,0,2,3.27,38,0.234,12,1,5,2,0,0,0,0,1,0,0,1,0,0,0,0
"ChangeUp",26,"0","1",8,"0","1",0,0,0,0,4,2.16,2,0.174,1,-1,8,1,0,0,0,0,1,0,0,1,0,0,0,0
"Slider/Cutter",25,"0","0",7,"1","1",1,1,0,0,2,2.14,6,0.253,0,-1,10,2,0,0,0,0,1,0,0,0,0,1,0,0
"ChangeUp",5,"0","1",2,"2","2",0,0,0,0,2,1.97,44,0.29,13,1,5,1,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",9,"0","1",3,"0","1",1,0,0,0,1,3.02,1,0.174,0,-1,6,4,5,4,0,0,1,0,0,1,0,0,0,0
"ChangeUp",16,"0","1",5,"1","2",1,0,0,0,0,3.68,0,0,0,-1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",11,"0","1",4,"0","0",1,0,0,0,0,3.01,24,0.238,3,1,6,3,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",10,"0","1",2,"0","1",2,1,1,0,-2,2.03,71,0.278,12,1,10,3,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",19,"0","0",6,"2","2",2,1,0,0,1,3.01,32,0.241,8,1,6,3,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",19,"0","1",5,"0","2",2,0,0,0,1,3.04,14,0.281,2,-1,6,2,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",7,"0","1",2,"2","2",1,0,0,0,0,1.99,59,0.265,9,-1,12,3,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",23,"0","1",7,"0","0",2,0,0,0,1,2.09,52,0.277,10,1,11,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",16,"0","1",4,"0","0",1,1,0,1,0,3.27,5,0.211,3,1,5,2,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",16,"0","1",4,"2","0",1,1,0,1,0,3.27,5,0.211,3,1,5,2,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",14,"0","1",4,"1","0",1,1,1,0,-1,2.87,22,0.316,5,1,6,4,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",24,"0","1",8,"0","0",0,0,0,0,1,3.01,0,0.235,0,1,6,3,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",8,"0","1",2,"0","2",2,1,0,0,0,2.09,5,0.226,1,1,11,3,0,0,0,1,0,0,0,0,1,0,0,0
"Slider/Cutter",14,"0","1",4,"0","2",0,0,0,0,0,2.27,0,0,0,-1,6,1,0,0,0,0,1,0,0,0,0,1,0,0
"ChangeUp",7,"0","1",2,"1","2",0,0,0,0,0,1.88,38,0.228,6,1,10,1,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",28,"0","1",7,"0","0",1,1,0,0,-1,3.04,14,0.281,2,-1,6,2,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",11,"0","0",4,"2","2",0,0,0,0,0,2.3,8,0.293,0,1,7,1,0,0,0,0,1,0,0,0,0,1,0,0
"Slider/Cutter",16,"0","1",3,"0","1",0,0,1,1,-3,2.37,3,0.163,1,-1,2,0,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",3,"0","1",1,"1","1",1,0,1,0,0,2.2,105,0.314,23,-1,12,4,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",6,"0","1",1,"1","0",2,1,1,1,0,1.88,0,0,0,1,10,1,0,0,0,1,0,0,0,1,0,0,0,0
