"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeCH","prev_pitch_typeCU","prev_pitch_typeEP","prev_pitch_typeFC","prev_pitch_typeFF","prev_pitch_typeFT","prev_pitch_typeSL","prevprev_pitch_type0","prevprev_pitch_typeCH","prevprev_pitch_typeCU","prevprev_pitch_typeEP","prevprev_pitch_typeFC","prevprev_pitch_typeFF","prevprev_pitch_typeFT","prevprev_pitch_typeSL"
"FF",20,"1","1",4,"0","1",2,0,0,0,-2,2.35,9,0.252,2,1,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"CH",10,"1","0",2,"1","0",1,0,1,0,3,1.35,4,0.306,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"SL",4,"1","1",1,"1","2",1,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"CH",5,"1","0",1,"0","1",2,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"FT",11,"1","0",4,"0","0",0,0,0,0,1,2.01,6,0.24,1,1,7,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FT",10,"1","1",3,"0","1",0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"FT",19,"1","0",5,"0","0",1,0,1,0,1,2.78,46,0.294,12,-1,10,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",5,"1","0",2,"0","0",0,0,0,0,0,2.78,33,0.335,10,-1,10,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SL",20,"1","1",5,"1","0",1,0,1,0,-1,2.03,15,0.315,2,-1,7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",1,"1","1",1,"0","1",0,0,0,0,0,1.83,11,0.292,2,-1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"FT",9,"1","0",3,"2","0",1,0,0,0,1,2.78,0,0.125,0,-1,10,4,4,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"FT",8,"1","1",3,"0","0",0,1,0,0,0,1.3,17,0.231,2,-1,9,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",5,"1","0",2,"2","0",0,0,0,0,2,3.27,4,0.233,1,-1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"FF",8,"1","1",3,"1","1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"FF",18,"1","1",5,"1","1",2,1,0,0,-1,2.79,4,0.095,1,-1,13,8,10,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"SL",23,"1","1",7,"0","1",0,0,0,0,6,2.89,8,0.267,0,1,9,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"FF",14,"1","1",4,"0","2",1,0,1,0,0,2.74,42,0.287,17,1,12,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"SL",20,"1","1",6,"2","2",0,0,0,0,1,1.59,29,0.303,7,1,12,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"FF",18,"1","1",5,"1","0",1,1,0,0,4,3.6,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"CH",20,"1","0",5,"1","0",0,1,0,0,-3,2.57,35,0.252,4,-1,9,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"FF",3,"1","0",1,"0","0",2,0,0,0,2,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
