"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball"
"Fastball",9,"1","1",2,"1","0",2,1,0,0,0,3.5,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0
"Fastball",2,"1","0",6,"2","2",0,0,0,0,7,4.5,27,0.258,6,-1,1,1,0,0,0,1,0,0,0,1,0,0
"CurveBall",0,"1","1",3,"2","2",0,0,0,0,3,4.5,20,0.227,7,-1,1,1,0,0,0,0,0,1,0,0,0,1
"Fastball",1,"1","0",1,"2","0",0,0,0,0,0,0,3,0.22,1,1,0,0,0,0,0,0,0,1,0,0,0,1
"Fastball",8,"1","0",5,"0","0",0,1,0,1,0,0,1,0.25,0,-1,0,0,0,0,1,0,0,0,1,0,0,0
"ChangeUp",2,"1","0",4,"1","0",2,0,0,0,-3,1.93,24,0.231,4,-1,1,0,0,0,0,0,0,1,1,0,0,0
"CurveBall",2,"1","0",6,"0","0",2,0,0,0,2,4.5,21,0.267,6,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",4,"1","0",1,"0","0",1,1,0,0,0,3.5,32,0.267,6,1,1,1,0,0,1,0,0,0,1,0,0,0
"ChangeUp",4,"1","1",4,"3","1",1,0,0,0,0,4.5,40,0.282,16,-1,0,0,0,0,0,0,0,1,0,0,0,1
"Fastball",4,"1","1",4,"3","0",1,0,0,0,0,4.5,40,0.282,16,-1,0,0,0,0,0,0,0,1,0,0,0,1
"CurveBall",1,"1","0",3,"0","2",2,0,1,0,0,4.5,4,0.181,1,-1,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",0,"1","1",6,"0","2",0,0,0,0,2,4.5,6,0.292,2,-1,0,0,0,0,0,0,0,1,0,0,1,0
"Fastball",5,"1","0",2,"1","1",1,0,0,0,0,4.5,10,0.231,1,-1,0,0,0,0,0,0,0,1,0,0,0,1
"ChangeUp",4,"1","1",4,"1","1",1,0,0,0,0,0,0,0.25,0,-1,0,0,0,0,0,0,0,1,0,0,0,1
"CurveBall",3,"1","0",7,"0","0",0,0,0,0,2,4.5,20,0.218,12,-1,0,0,0,0,1,0,0,0,1,0,0,0
"ChangeUp",2,"1","0",6,"2","2",0,0,0,0,7,4.5,27,0.258,6,-1,1,1,0,0,0,0,0,1,0,1,0,0
"ChangeUp",6,"1","1",5,"1","2",0,0,1,0,8,4.5,30,0.29,10,-1,1,1,0,0,0,0,1,0,0,0,0,1
"Fastball",1,"1","0",4,"0","0",1,0,0,0,-3,1.93,14,0.153,5,-1,1,0,0,0,1,0,0,0,1,0,0,0
"CurveBall",2,"1","0",6,"2","2",0,0,0,0,7,4.5,27,0.258,6,-1,1,1,0,0,0,0,0,1,0,1,0,0
"Fastball",2,"1","0",1,"1","0",1,0,0,0,0,3.86,24,0.267,8,1,2,1,0,0,0,0,0,1,1,0,0,0
"ChangeUp",2,"1","0",1,"1","1",1,0,0,0,0,3.86,24,0.267,8,1,2,1,0,0,0,0,0,1,0,0,0,1
"Fastball",9,"1","1",2,"0","1",1,0,0,0,-2,1.93,0,0.083,0,-1,1,0,4,6,0,0,0,1,1,0,0,0
"Fastball",2,"1","0",1,"0","0",1,0,0,0,0,4.5,21,0.267,6,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",7,"1","1",2,"0","0",0,0,0,0,-1,1.93,35,0.231,5,-1,1,0,0,0,1,0,0,0,1,0,0,0
"ChangeUp",3,"1","1",5,"1","1",2,0,0,0,0,0,37,0.266,15,1,0,0,0,0,0,0,0,1,0,1,0,0
"CurveBall",6,"1","0",4,"0","2",0,0,1,0,2,3.86,26,0.201,5,1,2,1,0,0,0,0,0,1,0,0,1,0
"Fastball",0,"1","0",8,"0","1",2,1,0,0,4,4.5,29,0.233,9,-1,0,0,0,0,0,0,0,1,1,0,0,0
"Fastball",4,"1","1",6,"3","2",1,1,1,0,7,4.5,53,0.284,20,-1,1,1,0,0,0,0,0,1,0,0,1,0
"CurveBall",9,"1","1",4,"0","2",0,0,0,0,-3,1.93,0,0.083,0,-1,1,0,4,6,0,0,0,1,0,0,0,1
"CurveBall",0,"1","0",8,"1","2",2,1,0,0,4,4.5,29,0.233,9,-1,0,0,0,0,0,0,0,1,0,0,0,1
"Fastball",8,"1","0",5,"1","1",0,1,0,1,0,0,1,0.25,0,-1,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",6,"1","0",4,"2","2",0,0,1,0,2,3.86,26,0.201,5,1,2,1,0,0,0,0,1,0,0,0,1,0
