pitch_type,bat_order,pitch_rl,bat_rl,inning,balls,strikes,out,on_1b,on_2b,on_3b,score_diff,era,rbi,avg,hr,pitcher_at_home,pitcher_wins,pitcher_losses,batter_wins,batter_losses,prev_pitch_type0,prev_pitch_typeChangeUp,prev_pitch_typeFastball,prev_pitch_typeKnuckleBall,prev_pitch_typeSlider.Cutter,prevprev_pitch_type0,prevprev_pitch_typeChangeUp,prevprev_pitch_typeFastball,prevprev_pitch_typeKnuckleBall,prevprev_pitch_typeSlider.Cutter
Slider/Cutter,8,1,1,7,0,2,0,0,0,0,-2,4.91,6,0.277,2,1,5,3,0,0,0,0,0,0,1,0,0,0,0,1
KnuckleBall,9,1,0,3,2,2,0,0,0,0,6,3.36,1,0.135,1,1,11,5,0,0,0,0,1,0,0,0,0,1,0,0
ChangeUp,1,1,0,4,1,2,2,0,0,1,-1,3.92,30,0.29,11,1,7,5,0,0,0,0,1,0,0,0,0,1,0,0
KnuckleBall,2,1,1,5,0,0,0,0,0,0,2,3.92,76,0.302,24,1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,8,1,0,2,0,1,0,0,0,0,-3,3.8,4,0.167,3,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0
KnuckleBall,5,1,1,1,1,0,1,1,0,0,-2,1.35,3,0.222,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Slider/Cutter,5,1,1,1,1,0,0,1,1,0,-2,4.63,29,0.319,3,-1,5,2,0,0,0,0,0,1,0,1,0,0,0,0
Fastball,2,1,1,1,0,0,0,0,0,0,0,3.92,76,0.302,24,1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
KnuckleBall,9,1,1,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ChangeUp,7,1,1,1,1,0,2,1,1,0,-2,1.35,3,0.077,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
ChangeUp,1,1,1,3,1,0,0,0,0,0,1,3.97,33,0.273,4,1,7,5,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,6,1,0,6,3,1,1,0,0,1,2,4.97,14,0.178,4,-1,4,2,0,0,0,0,0,1,0,0,0,1,0,0
Slider/Cutter,3,1,1,6,0,0,2,1,0,0,9,3.78,58,0.264,12,1,8,5,0,0,1,0,0,0,0,1,0,0,0,0
Slider/Cutter,3,1,0,4,3,0,1,0,0,0,0,7.58,8,0.212,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,1
KnuckleBall,4,1,0,1,1,2,0,1,1,0,0,3.38,15,0.194,6,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,6,1,0,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Slider/Cutter,4,1,0,6,2,2,1,0,0,0,1,3.41,31,0.234,10,-1,12,2,0,0,0,0,0,1,0,0,0,0,1,0
Fastball,6,1,1,2,2,2,0,1,0,0,1,3.97,16,0.238,1,1,7,5,0,0,0,0,0,0,1,0,0,0,1,0
Fastball,8,1,0,2,2,1,1,1,1,0,0,5.2,14,0.218,2,1,5,2,0,0,0,0,1,0,0,0,1,0,0,0
Fastball,4,1,0,3,0,0,1,0,0,0,0,3.92,29,0.287,5,1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
KnuckleBall,7,1,0,2,1,2,1,1,0,0,-2,3.68,8,0.214,2,-1,3,1,0,0,0,0,0,0,1,0,0,0,1,0
Slider/Cutter,4,1,1,3,1,0,2,0,0,0,4,0.84,9,0.304,3,-1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,5,1,1,4,1,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Fastball,9,1,0,8,2,2,0,1,0,0,4,3.97,4,0.286,0,-1,3,2,0,0,0,0,1,0,0,0,0,0,0,1
Slider/Cutter,4,1,0,4,2,0,0,0,1,0,1,4.82,35,0.25,12,-1,5,4,0,0,0,1,0,0,0,0,0,1,0,0
Slider/Cutter,1,1,1,4,1,0,0,0,0,0,0,4.42,8,0.306,3,-1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,1,1,0,1,0,1,0,0,0,0,0,7.58,8,0.277,1,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0
ChangeUp,7,1,0,5,1,0,2,0,0,1,-2,3.26,15,0.255,0,-1,13,5,0,0,0,1,0,0,0,1,0,0,0,0
Fastball,3,1,1,3,0,1,1,1,0,0,0,5.2,21,0.271,3,1,5,2,0,0,0,1,0,0,0,1,0,0,0,0
Slider/Cutter,5,1,1,2,2,1,0,0,0,0,0,4.11,65,0.238,20,-1,7,5,0,0,0,1,0,0,0,0,0,1,0,0
