"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Fastball",9,"1","1",3,"2","1",1,0,0,0,0,2.64,26,0.227,6,1,8,6,0,0,0,0,0,1,0,0,0,0,0,1
"ChangeUp",30,"1","0",9,"0","1",2,1,0,0,2,2.86,33,0.268,8,-1,7,5,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",11,"1","0",2,"1","0",1,0,0,0,-3,0,0,0.125,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",8,"1","0",2,"1","1",1,0,1,1,-1,4.98,8,0.214,3,1,4,4,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",5,"1","0",9,"0","0",2,1,1,0,5,6.46,7,0.34,1,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",22,"1","0",6,"1","2",0,0,0,0,3,4.98,21,0.285,7,1,4,4,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",25,"1","1",7,"2","1",1,0,0,0,2,3.14,40,0.234,9,-1,5,4,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",8,"1","1",3,"2","2",0,0,0,0,1,3.18,5,0.273,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",18,"1","0",5,"0","0",2,0,0,0,1,2.84,0,0.231,0,-1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",5,"1","0",8,"2","0",2,0,0,0,-4,5.5,3,0.324,0,-1,0,3,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",14,"1","0",4,"1","0",1,1,0,0,10,4.74,0,0,0,1,5,4,0,0,0,0,0,1,0,1,0,0,0,0
"ChangeUp",4,"1","1",2,"1","2",0,0,0,0,0,7.84,5,0.243,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1
"ChangeUp",7,"1","0",2,"1","2",2,1,0,0,0,2.64,52,0.255,9,1,8,6,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",1,"1","0",1,"3","2",0,0,0,0,1,3.14,33,0.305,1,-1,5,4,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",5,"1","0",9,"1","0",2,1,1,0,5,6.46,7,0.34,1,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",17,"1","0",4,"1","0",1,0,1,1,-1,3,3,0.35,2,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",16,"1","0",4,"0","0",0,0,0,0,0,4.6,6,0.203,2,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",3,"1","1",1,"0","0",0,1,1,0,1,3.14,96,0.312,33,-1,5,4,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"1","1",2,"0","2",0,0,0,0,0,2.86,85,0.237,36,-1,7,5,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",4,"1","1",9,"0","0",1,1,1,0,5,6.46,14,0.234,8,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0
