"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Slider.Cutter",6,"1","1",4,"1","1",2,0,0,0,-1,2.25,2,0.229,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0
"ChangeUp",2,"1","0",6,"0","1",1,0,0,0,6,3.5,4,0.304,1,-1,3,0,0,0,0,0,1,0,0,1,0,0,0,0
"CurveBall",5,"1","0",2,"0","0",0,0,0,0,0,0,0,0.111,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",6,"1","1",7,"0","0",1,1,0,0,1,2.72,13,0.28,3,-1,5,1,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",3,"1","1",9,"0","0",1,0,0,0,6,3.5,11,0.269,4,-1,3,0,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",5,"1","0",6,"1","0",1,0,0,0,8,2.7,4,0.261,0,-1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",6,"1","1",2,"1","1",2,1,0,0,0,2.72,13,0.28,3,-1,5,1,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",8,"1","1",5,"1","1",0,0,0,0,-1,2.92,2,0.385,0,-1,2,0,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",3,"1","0",4,"0","0",0,1,0,0,7,2.7,2,0.346,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",6,"1","1",2,"0","1",0,0,1,0,0,2.25,2,0.229,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",7,"1","0",7,"3","2",1,1,0,0,1,2.31,10,0.244,3,1,5,1,0,0,0,0,0,0,1,0,1,0,0,0
"Slider.Cutter",9,"1","1",3,"1","2",1,0,0,0,0,3.04,0,0.111,0,1,4,0,1,2,0,0,0,1,0,0,0,0,1,0
"Fastball",6,"1","1",2,"1","0",1,0,1,0,1,3.5,9,0.357,4,-1,3,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",8,"1","1",2,"0","1",2,1,0,0,-1,2.25,5,0.25,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",7,"1","0",4,"2","2",1,1,0,0,1,4.76,10,0.209,0,-1,4,9,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",8,"1","0",2,"1","0",1,1,0,0,-2,3.11,9,0.232,0,1,7,6,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",3,"1","0",6,"1","2",0,1,0,0,2,3.05,14,0.285,0,1,6,3,0,0,0,1,0,0,0,0,0,0,1,0
"CurveBall",5,"1","1",2,"1","2",1,0,0,0,0,2.91,15,0.273,3,1,5,2,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",5,"1","1",7,"0","0",0,0,0,0,1,3.04,15,0.217,2,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",3,"1","1",1,"1","2",1,0,0,0,0,2.31,21,0.328,3,1,5,1,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",2,"1","0",5,"0","0",1,0,1,0,0,3.18,36,0.291,14,1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",7,"1","0",4,"0","0",2,1,1,0,0,2.31,10,0.244,3,1,5,1,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",2,"1","0",1,"0","2",1,0,0,0,0,3.18,36,0.291,14,1,7,5,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",1,"1","0",1,"1","0",0,0,0,0,0,5.77,5,0.174,0,-1,3,6,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",1,"1","0",3,"1","2",0,0,0,0,0,3.32,31,0.283,2,-1,7,4,0,0,0,1,0,0,0,0,0,0,1,0
"CurveBall",3,"1","0",1,"0","0",1,1,0,0,0,0,1,0.571,1,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",2,"1","0",6,"1","1",0,0,0,0,2,3.05,23,0.318,5,1,6,3,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",2,"1","1",6,"0","0",1,0,0,0,3,3.62,45,0.309,17,1,6,4,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",5,"1","0",4,"0","0",1,0,0,0,4,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",1,"1","1",3,"0","1",0,0,0,0,0,3.18,28,0.29,4,1,7,5,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",5,"1","1",4,"2","0",0,0,0,0,-1,2.41,6,0.214,2,-1,5,0,0,0,0,0,0,0,1,0,0,0,0,1
"CurveBall",7,"1","0",2,"2","2",2,0,0,1,1,3.5,9,0.242,2,-1,3,0,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",7,"1","1",4,"0","0",2,1,0,0,1,3.18,6,0.225,2,1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",6,"1","1",2,"1","1",2,1,0,0,0,0,0,0.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Slider.Cutter",0,"1","1",7,"0","1",0,1,0,0,2,3.11,22,0.216,4,1,7,6,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",7,"1","0",7,"1","2",2,0,0,0,1,2.72,6,0.208,4,-1,5,1,0,0,0,0,0,0,1,0,0,0,1,0
"CurveBall",4,"1","0",4,"2","2",1,0,0,0,0,3.04,15,0.286,5,1,4,0,0,0,0,0,0,0,1,0,0,0,1,0
"Slider.Cutter",6,"1","1",2,"0","0",1,1,0,0,0,3.62,34,0.284,10,1,6,4,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",9,"1","1",5,"0","0",0,1,0,0,-2,2.91,2,0.125,0,1,5,2,4,2,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",4,"1","1",1,"0","1",1,0,0,0,-2,1.98,27,0.289,8,-1,5,1,0,0,0,0,0,1,0,1,0,0,0,0
"ChangeUp",6,"1","1",5,"2","2",0,1,0,0,3,3.62,34,0.284,10,1,6,4,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",2,"1","1",1,"0","0",1,0,0,0,0,0,0,0.2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",6,"1","1",5,"0","1",1,0,0,0,-1,0,0,0.25,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Slider.Cutter",6,"1","1",2,"0","2",1,1,0,0,0,3.62,34,0.284,10,1,6,4,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",7,"1","0",2,"2","2",1,0,0,0,-1,3.11,2,0.136,1,-1,5,3,0,0,0,1,0,0,0,0,0,0,0,1
"Fastball",7,"1","1",2,"0","0",2,1,0,0,0,3.04,5,0.217,1,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",0,"1","1",5,"0","1",2,0,0,0,6,2.25,1,0.25,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",2,"1","1",1,"2","1",0,0,0,0,0,3.32,35,0.291,5,-1,7,4,0,0,0,0,0,0,1,0,0,0,1,0
