"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Slider.Cutter",5,"0","0",2,"1","2",0,0,1,0,0,1.56,29,0.237,1,1,7,1,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",6,"0","1",7,"0","0",2,1,0,0,8,2.04,7,0.316,1,-1,9,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",5,"0","1",4,"0","0",0,0,0,0,0,0,6,0.227,2,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",1,"0","0",3,"1","2",1,0,0,0,2,3.86,19,0.254,7,-1,3,3,0,0,0,0,0,1,0,0,0,1,0,0
"CurveBall",8,"0","1",5,"0","1",2,0,0,0,1,1.56,4,0.196,0,1,7,1,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",8,"0","0",7,"1","2",2,0,0,0,0,1.46,6,0.217,3,-1,8,1,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",9,"0","1",3,"2","2",1,0,0,0,1,1.48,2,0.059,1,-1,7,1,4,3,0,0,0,1,0,0,0,0,1,0
"Fastball",1,"0","0",7,"0","1",0,0,0,0,1,2.43,9,0.271,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0
"Slider.Cutter",2,"0","1",1,"2","2",1,0,0,0,0,1.96,21,0.278,9,-1,3,1,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",2,"0","1",1,"0","0",0,0,1,0,0,1.48,17,0.277,3,-1,7,1,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",4,"0","1",4,"0","1",0,0,0,0,1,1.67,72,0.294,19,-1,18,3,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",4,"0","1",2,"0","1",0,0,0,0,0,1.8,69,0.277,16,1,20,3,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",5,"0","1",6,"0","1",0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",8,"0","1",3,"1","1",1,0,0,0,0,2.43,2,0.188,0,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0
"Slider.Cutter",6,"0","1",2,"0","0",1,0,0,1,2,1.5,3,0.268,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",6,"0","0",5,"0","2",0,0,0,0,-2,3.57,18,0.351,0,1,3,2,0,0,0,0,0,0,1,0,0,0,1,0
"Slider.Cutter",4,"0","1",4,"1","2",2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Slider.Cutter",7,"0","1",5,"1","0",2,1,1,0,5,1.7,12,0.231,3,-1,19,3,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",8,"0","1",4,"0","2",2,1,1,0,-2,4.24,9,0.196,2,-1,2,2,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",4,"0","1",2,"0","0",0,0,0,0,0,3.57,21,0.277,5,1,3,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"0","1",1,"0","0",2,1,0,0,0,1.82,38,0.237,8,-1,15,3,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",8,"0","1",6,"2","2",0,0,0,0,0,3.72,2,0.192,0,-1,1,2,0,0,0,0,0,1,0,0,0,1,0,0
"Slider.Cutter",4,"0","1",4,"0","2",0,0,0,0,-2,4.42,7,0.25,2,-1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
"CurveBall",3,"0","1",4,"1","2",1,1,0,0,1,2.52,32,0.277,2,-1,7,2,0,0,0,0,0,0,1,0,0,0,0,1
"Slider.Cutter",7,"0","1",5,"1","1",1,0,0,0,0,1.67,0,0.186,0,1,6,1,0,0,0,0,0,0,1,0,0,0,0,1
"Slider.Cutter",1,"0","0",5,"3","2",1,0,1,0,1,5.84,2,0.265,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"Slider.Cutter",1,"0","1",3,"2","2",1,1,0,0,0,1.67,16,0.323,5,1,6,1,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",6,"0","1",6,"2","2",2,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Slider.Cutter",5,"0","1",3,"0","0",1,1,1,0,2,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",5,"0","1",4,"1","0",1,0,0,0,-2,4.42,4,0.318,1,-1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
"Slider.Cutter",6,"0","1",6,"2","2",2,0,1,1,0,1.8,2,0.125,1,1,20,3,0,0,0,0,0,0,1,0,0,0,1,0
"CurveBall",8,"0","1",2,"1","1",2,1,0,1,2,3.32,16,0.28,2,-1,4,2,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",4,"0","1",7,"0","0",0,0,0,0,1,1.48,22,0.273,11,-1,7,1,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",8,"0","0",5,"0","2",2,0,1,0,1,1.85,14,0.227,2,1,10,2,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",3,"0","1",1,"0","0",2,0,0,0,0,1.52,41,0.281,12,-1,9,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",6,"0","1",2,"0","0",0,0,0,0,1,4.26,9,0.322,2,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",2,"0","1",6,"0","0",0,0,0,0,-1,3.49,27,0.264,9,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",9,"0","1",6,"0","1",1,0,0,0,0,1.86,3,0.17,0,1,14,3,11,11,0,0,0,1,0,1,0,0,0,0
"Fastball",8,"0","0",5,"0","1",0,1,0,0,1,1.67,33,0.267,4,-1,18,3,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",6,"0","1",7,"0","0",0,0,0,0,0,1.46,2,0.19,1,-1,8,1,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",1,"0","1",4,"0","1",0,0,0,0,0,1.65,4,0.28,2,-1,12,3,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",5,"0","1",6,"0","1",0,0,0,0,2,1.82,9,0.207,2,-1,15,3,0,0,0,0,0,1,0,1,0,0,0,0
"Slider.Cutter",7,"0","1",3,"2","2",0,0,0,0,2,1.7,9,0.239,1,1,17,3,0,0,0,0,0,1,0,0,0,0,0,1
"CurveBall",3,"0","1",4,"1","1",0,0,0,0,-1,4.24,10,0.32,0,-1,2,2,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",7,"0","1",7,"0","0",1,0,0,0,-1,0.66,0,0.059,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0
"Slider.Cutter",7,"0","0",7,"0","1",0,0,0,0,-2,4.24,14,0.313,3,-1,2,2,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",0,"0","1",7,"0","0",1,0,0,0,4,1.35,2,0.262,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",5,"0","0",2,"0","0",1,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",8,"0","0",5,"0","2",2,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"CurveBall",0,"0","1",7,"0","1",1,0,0,0,-2,4.24,16,0.238,3,-1,2,2,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",6,"0","1",7,"1","0",2,1,0,0,5,1.92,3,0.212,2,-1,11,2,0,0,0,0,0,1,0,1,0,0,0,0
"CurveBall",1,"0","1",3,"1","2",0,0,0,0,3,1.96,12,0.296,2,-1,3,1,0,0,0,0,0,0,1,0,0,0,0,1
"Slider.Cutter",4,"0","1",2,"0","1",0,0,0,0,1,1.78,44,0.252,14,-1,11,2,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",2,"0","1",7,"1","1",0,0,0,0,1,2.43,13,0.302,5,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1
"Slider.Cutter",7,"0","1",5,"2","2",1,0,1,1,0,1.89,12,0.268,0,-1,11,3,0,0,0,0,1,0,0,0,0,0,1,0
"Slider.Cutter",1,"0","0",1,"1","1",0,0,0,0,0,0,6,0.222,1,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"Slider.Cutter",5,"0","1",4,"0","0",2,0,1,0,-1,1.52,23,0.271,7,-1,9,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",7,"0","1",4,"0","0",2,1,0,0,-1,1.8,13,0.255,0,1,20,3,0,0,1,0,0,0,0,1,0,0,0,0
