"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"CurveBall",27,"0","1",7,"0","0",2,0,1,0,-2,3.69,22,0.229,5,-1,4,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",21,"0","0",5,"2","1",2,0,1,0,0,3.98,16,0.254,2,-1,3,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",9,"0","1",3,"0","1",0,1,0,0,0,3.04,3,0.343,0,-1,6,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",6,"0","1",2,"0","0",0,0,0,0,-1,3.95,26,0.291,2,-1,3,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",15,"0","0",5,"1","1",1,0,0,0,1,4,10,0.202,0,-1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",21,"0","1",6,"0","0",1,0,0,0,2,3.9,15,0.259,2,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",6,"0","0",2,"1","0",1,0,0,0,0,8.4,5,0.25,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",11,"0","1",3,"1","1",0,1,0,0,0,3.31,43,0.295,12,-1,3,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",13,"0","1",3,"2","0",0,0,0,0,-2,3.15,81,0.309,16,-1,5,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"CurveBall",7,"0","0",2,"0","2",1,0,1,0,-1,3.98,9,0.205,4,-1,3,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"CurveBall",11,"0","0",3,"0","0",2,1,0,1,0,3.04,42,0.257,8,-1,6,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",17,"0","1",5,"1","2",0,0,0,0,-1,4.67,12,0.245,2,-1,2,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",19,"0","1",4,"2","2",1,0,0,0,-2,3.69,33,0.289,2,1,4,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",14,"0","1",4,"0","1",1,1,0,0,-1,3.81,39,0.253,12,1,4,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",4,"0","1",1,"1","1",1,1,0,0,-1,3.14,84,0.26,32,1,6,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",21,"0","1",6,"1","0",0,1,0,0,2,3,3,0.417,1,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",10,"0","1",2,"0","0",1,1,0,0,-1,3.15,23,0.309,5,1,6,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",10,"0","1",2,"0","0",0,1,0,0,-2,3.15,32,0.271,4,-1,5,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",10,"0","1",3,"1","0",0,0,0,1,-1,8.4,5,0.295,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",21,"0","1",5,"2","1",0,0,0,0,0,3.15,56,0.289,11,-1,5,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",15,"0","0",4,"1","1",1,1,0,0,3,9,1,0.125,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",3,"0","1",1,"0","1",1,1,0,0,0,3.56,23,0.335,7,1,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",4,"0","1",2,"0","1",0,0,0,0,0,2.77,1,0.179,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",13,"0","1",4,"0","1",0,0,0,0,-1,4.39,12,0.316,1,1,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Fastball",9,"0","1",3,"1","2",0,0,0,0,-2,3.69,22,0.229,5,-1,4,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",17,"0","1",4,"2","0",0,1,0,0,-1,2.37,5,0.233,2,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",7,"0","0",2,"0","2",2,0,0,0,-1,4.39,23,0.231,5,1,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"CurveBall",11,"0","1",3,"0","1",2,0,0,0,0,3.04,52,0.288,15,-1,6,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"CurveBall",20,"0","1",5,"1","2",2,0,0,0,-2,3.75,13,0.303,2,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"CurveBall",25,"0","0",7,"0","0",0,0,0,0,4,3.48,6,0.262,0,1,6,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",26,"0","1",5,"1","1",1,1,1,0,-1,0,1,0.5,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",1,"0","1",1,"2","2",0,0,0,0,0,3.48,44,0.285,7,1,6,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0
